Date,Company,open,High,low,Close ,volume
16-05-2022 00:00,AMZN,280.9,281.95,277.09,,70835864
19-08-2019 00:00,AMZN,140.46,142.38,139.96,142.13,21152039
28-03-2025 00:00,AAPL,66.93,67.44,66.47,67.06,83897032
01-06-2022 00:00,AMZN,305.2,308.1,303.82,304.93,82612518
08-09-2025 00:00,GOOGL,181.55,183.89,180.33,182.27,98783164
12-10-2020 00:00,MSFT,247.76,248.77,246.1,247.59,71378053
26-02-2026 00:00,amzn,230.88,232.48,228.74,229.91,81830788
09-07-2024 00:00,GOOGL,239.86,241.03,237.27,239.95,73298438
13-03-2026 00:00,MSFT,102.6,104.2,102.28,102.51,84421987
12-09-2023 00:00,TSLA,79.52,79.6,78.9,79.3,87792988
04-11-2024 00:00,TSLA,137.68,139.03,137.25,,80094376
05-02-2020 00:00,GOOGL,133.15,133.48,133.07,133.37,78463857
09-06-2021 00:00,MSFT,171.4,173.82,171.07,173,67492075
08-10-2024 00:00,TSLA,109.61,110.7,109.11,109.29,42868898
17-03-2025,AMZN,191.35,194.66,187.84,192.53,46766521
13-10-2020 00:00,GOOGL,181.01,181.26,178.88,180.55,29669897
24-07-2020 00:00,AAPL,55.04,55.05,54.44,54.76,87634803
17-06-2021 00:00,GOOGL,178.55,178.69,176.87,177.33,53103361
19-05-2021 00:00,MSFT,175.04,176.6,174.01,176.37,80997810
31-10-2024 00:00,MSFT,136.05,136.52,134.58,134.96,45879470
30-08-2024 00:00,GOOGL,275.53,277.32,273.58,275.52,49603362
14-02-2022 00:00,TSLA,203.03,204.2,202.8,203.3,60127945
31-05-2023 00:00,GOOGL,178.55,180.38,177.1,178.67,52806873
22-12-2022 00:00,MSFT,105.68,106.24,105.55,106.09,69511405
09-05-2024 00:00,AMZN,308.29,313.14,306.93,309.43,69173970
26-07-2021 00:00,msft,177.95,178.31,176.34,176.93,49671211
17-12-2019 00:00,TSLA,193.4,194.24,191.28,191.32,42023423
13-09-2021 00:00,AMZN,346,350.97,342.9,347.87,57972699
02-11-2020 00:00,TSLA,262.6,263.42,,260.99,58864305
26-10-2020,AMZN,311.88,316.93,305.45,311.86,50062224
20-06-2025 00:00,GOOGL,161.01,163.25,157.45,159.89,71426408
23-06-2023 00:00,TSLA,92.09,93.8,91.6,92.87,69270632
29-11-2021 00:00,MSFT,161.45,162.24,161.28,161.4,26989277
20-05-2024 00:00,TSLA,77.94,78.79,77.93,78.7,50128635
22-09-2022 00:00,GOOGL,230.25,233.39,228.05,232.58,64664155
05-09-2022 00:00,TSLA,121.9,123.1,121.14,121.77,54596827
08-11-2023 00:00,AAPL,69.83,,69.39,70,70622200
22-10-2025 00:00,TSLA,232.08,232.28,230.26,231.24,37939982
06-07-2020 00:00,AAPL,,50.73,50.35,50.58,98181076
30-03-2022 00:00,AMZN,251.71,,,255.31,23515954
20-05-2019 00:00,MSFT,,160.86,156.91,159.61,71392383
20-12-2021 00:00,GOOGL,282.61,282.88,,281.79,98711315
20-10-2020 00:00,TSLA,236.3,237.29,233.4,236.43,76330067
26-08-2024 00:00,TSLA,102.71,103.09,101.74,102.78,38431114
12-04-2021 00:00,AAPL,,46.38,45.55,45.8,41805816
06-12-2022 00:00,TSLA,105.76,107.21,105.06,106.62,96641160
17-08-2022,AAPL,45.3,45.64,44.79,45.25,34648925
23-12-2019 00:00,aapl,65.35,66.14,,66.07,64593599
05-01-2024 00:00,MSFT,109.01,109.73,107.65,108.22,53489108
11-12-2025 00:00,AAPL,45.15,45.55,44.79,44.99,0
25-01-2024 00:00,GOOGL,216.36,220.15,213.54,216.51,95179279
